country	0x23_#	0x24_$	0x40_@	0x5B_[	0x5C_\	0x5D_]	0x5E_^	0x60_`	0x7B_{	0x7C_|	0x7D_}	0x7E_~
USA	0x23_#	0x24_$	0x40_@	0x5B_[	0x5C_\	0x5D_]	0x5E_^	0x60_`	0x7B_{	0x7C_|	0x7D_}	0x7E_~
France	0x23_#	0x24_$	0x85_à	0x01_°	0x87_ç	0x15_§	0x5E_^	0x60_`	0x82_é	0x97_ù	0x8A_è	0x06_¨
Germany	0x23_#	0x24_$	0x15_§	0x8E_Ä	0x99_Ö	0x9A_Ü	0x5E_^	0x60_`	0x84_ä	0x94_ö	0x81_ü	0x03_ß
UK	0x9C_£	0x24_$	0x40_@	0x5B_[	0x5C_\	0x5D_]	0x5E_^	0x60_`	0x7B_{	0x7C_|	0x7D_}	0x7E_~
Denmark_I	0x23_#	0x24_$	0x40_@	0x92_Æ	0x04_Ø	0x8F_Å	0x5E_^	0x60_`	0x91_æ	0x05_ø	0x86_å	0x7E_~
Sweden	0x23_#	0x02_¤	0x90_É	0x8E_Ä	0x99_Ö	0x8F_Å	0x9A_Ü	0x82_é	0x84_ä	0x94_ö	0x86_å	0x81_ü
Italy	0x23_#	0x24_$	0x40_@	0x01_°	0x5C_\	0x82_é	0x5E_^	0x97_ù	0x85_à	0x95_ò	0x8A_è	0x8D_ì
Spain_I	0x9E_₧	0x24_$	0x40_@	0xAD_¡	0xA5_Ñ	0xA8_¿	0x5E_^	0x60_`	0x06_¨	0xA4_ñ	0x7D_}	0x7E_~
Japan	0x23_#	0x24_$	0x40_@	0x5B_[	0x9D_¥	0x5D_]	0x5E_^	0x60_`	0x7B_{	0x7C_|	0x7D_}	0x7E_~
Norway	0x23_#	0x02_¤	0x90_É	0x92_Æ	0x04_Ø	0x8F_Å	0x9A_Ü	0x82_é	0x91_æ	0x05_ø	0x86_å	0x81_ü
Denmark_II	0x23_#	0x24_$	0x90_É	0x92_Æ	0x04_Ø	0x8F_Å	0x9A_Ü	0x82_é	0x91_æ	0x05_ø	0x86_å	0x81_ü
Spain_II	0x23_#	0x24_$	0xA0_á	0xAD_¡	0xA5_Ñ	0xA8_¿	0x82_é	0x60_`	0xA1_í	0xA4_ñ	0xA2_ó	0xA3_ú
Latin_America	0x23_#	0x24_$	0xA0_á	0xAD_¡	0xA5_Ñ	0xA8_¿	0x82_é	0x81_ü	0xA1_í	0xA4_ñ	0xA2_ó	0xA3_ú
