address	kind	size	classification	text
0x008B	unresolved_stop			decode failed
0x00A2	unresolved_stop			decode failed
0x02DC	unresolved_stop			02dc: 48 28  JEA
0x240A	unresolved_stop			240a: 48 28  JEA
0x5468	unresolved_stop			5468: 48 28     JEA
0x761C	unresolved_stop			761c: 48 28  JEA
0x0093	untraced_gap_start	1	likely_data_or_untraced_code	-
0x00A2	untraced_gap_start	2	likely_data_or_untraced_code	-
0x00AF	untraced_gap_start	1	likely_data_or_untraced_code	-
0x02DE	untraced_gap_start	6	likely_data_or_untraced_code	-
0x04F7	untraced_gap_start	1	likely_data_or_untraced_code	-
0x07E0	untraced_gap_start	1	likely_data_or_untraced_code	-
0x07E8	untraced_gap_start	28	likely_data_or_untraced_code	-
0x0811	untraced_gap_start	1	likely_data_or_untraced_code	-
0x0819	untraced_gap_start	29	likely_data_or_untraced_code	-
0x0AB6	untraced_gap_start	41	likely_data_or_untraced_code	-
0x0AE5	untraced_gap_start	6	likely_data_or_untraced_code	-
0x0AF6	untraced_gap_start	11	likely_data_or_untraced_code	-
0x0B18	untraced_gap_start	11	likely_data_or_untraced_code	-
0x0B28	untraced_gap_start	9	likely_data_or_untraced_code	-
0x0B55	untraced_gap_start	6	likely_data_or_untraced_code	-
0x0B7B	untraced_gap_start	747	likely_data_or_untraced_code	-
0x0E7D	untraced_gap_start	153	likely_data_or_untraced_code	-
0x0F18	untraced_gap_start	4	likely_data_or_untraced_code	-
0x0F23	untraced_gap_start	4	likely_data_or_untraced_code	-
0x0F2E	untraced_gap_start	20	likely_data_or_untraced_code	-
0x0FD0	untraced_gap_start	138	likely_data_or_untraced_code	-
0x10A2	untraced_gap_start	5	likely_data_or_untraced_code	-
0x11DF	untraced_gap_start	1	likely_data_or_untraced_code	-
0x1423	untraced_gap_start	31	likely_data_or_untraced_code	-
0x1448	untraced_gap_start	13	likely_data_or_untraced_code	-
0x147C	untraced_gap_start	74	likely_data_or_untraced_code	-
0x15D3	untraced_gap_start	13	likely_data_or_untraced_code	-
0x16A1	untraced_gap_start	1	likely_data_or_untraced_code	-
0x16C3	untraced_gap_start	1	likely_data_or_untraced_code	-
0x16CF	untraced_gap_start	1	likely_data_or_untraced_code	-
0x16F1	untraced_gap_start	1	likely_data_or_untraced_code	-
0x16FD	untraced_gap_start	1	likely_data_or_untraced_code	-
0x17A2	untraced_gap_start	1	likely_data_or_untraced_code	-
0x17DA	untraced_gap_start	1	likely_data_or_untraced_code	-
0x17F2	untraced_gap_start	3	likely_data_or_untraced_code	-
0x1A16	untraced_gap_start	14	likely_data_or_untraced_code	-
0x1F23	untraced_gap_start	42	likely_data_or_untraced_code	-
0x1F69	untraced_gap_start	123	likely_data_or_untraced_code	-
0x23E9	untraced_gap_start	8	likely_data_or_untraced_code	-
0x2475	untraced_gap_start	56	likely_data_or_untraced_code	-
0x2785	untraced_gap_start	28	likely_data_or_untraced_code	-
0x27B0	untraced_gap_start	33	likely_data_or_untraced_code	-
0x2895	untraced_gap_start	8	likely_data_or_untraced_code	-
0x2DCE	untraced_gap_start	21	likely_data_or_untraced_code	-
0x401D	untraced_gap_start	1	likely_data_or_untraced_code	-
0x418F	untraced_gap_start	203	likely_data_or_untraced_code	-
0x4267	untraced_gap_start	129	likely_data_or_untraced_code	-
0x4315	untraced_gap_start	105	likely_data_or_untraced_code	-
0x43A7	untraced_gap_start	54	likely_data_or_untraced_code	-
0x4C6C	untraced_gap_start	1	likely_data_or_untraced_code	-
0x4C85	untraced_gap_start	12	likely_data_or_untraced_code	-
0x4F36	untraced_gap_start	1	likely_data_or_untraced_code	-
0x4F97	untraced_gap_start	26	likely_data_or_untraced_code	-
0x5059	untraced_gap_start	20	likely_data_or_untraced_code	-
0x51E4	untraced_gap_start	5	likely_data_or_untraced_code	-
0x534F	untraced_gap_start	10	likely_data_or_untraced_code	-
0x5367	untraced_gap_start	72	likely_data_or_untraced_code	-
0x53FD	untraced_gap_start	1	likely_data_or_untraced_code	-
0x6960	untraced_gap_start	250	likely_data_or_untraced_code	-
0x7000	untraced_gap_start	923	likely_data_or_untraced_code	-
0x744C	untraced_gap_start	1	likely_data_or_untraced_code	-
0x74C9	untraced_gap_start	2	likely_data_or_untraced_code	-
0x756C	untraced_gap_start	3	likely_data_or_untraced_code	-
0x761E	untraced_gap_start	117	likely_data_or_untraced_code	-
0x78B5	untraced_gap_start	1	likely_data_or_untraced_code	-
0x79ED	untraced_gap_start	9	likely_data_or_untraced_code	-
