address	size	op	xrefs	successors	text
0x0000	1	DI		0x0001	0000: ba        DI
0x0001	3	JMP	0x0000	0x0180	0001: 54 80 01  JMP     $0180
0x0004	1	EI		0x0005	0004: aa        EI
0x0005	1	RETI	0x0004		0005: 62        RETI
0x0008	3	JMP		0x0978	0008: 54 78 09  JMP     $0978
0x0010	3	JMP		0x0582	0010: 54 82 05  JMP     $0582
0x0018	3	JMP		0x0668	0018: 54 68 06  JMP     $0668
0x0028	3	JMP		0x05E2	0028: 54 e2 05  JMP     $05E2
0x0060	3	JMP		0x0582	0060: 54 82 05  JMP     $0582
0x0075	1	NOP	0x008C	0x0076	0075: 00  NOP
0x0076	1	NOP	0x0075	0x0077	0076: 00  NOP
0x0077	1	NOP	0x0076	0x0078	0077: 00  NOP
0x0078	1	JR	0x0077 0x0078	0x0078	0078: ff  JR      $0078
0x0080	1	MOV	0x0AB2 0x113D 0x114F 0x1150 0x1152 0x115D 0x119D 0x1382 0x138C 0x1398 0x13A8 0x2530 0x2568 0x400B 0x73D1	0x0081	0080: 0b     MOV     A,C
0x0081	1	MOV	0x0080	0x0082	0081: 0a     MOV     A,B
0x0082	1	PUSH	0x0081 0x11B0 0x695B	0x0083	0082: b2     PUSH    DE
0x0083	1	MOV	0x0082	0x0084	0083: 0a     MOV     A,B
0x0084	1	DMOV	0x0083 0x113E 0x1159 0x119F 0x11B4 0x1383	0x0085	0084: b6     DMOV    DE,EA
0x0085	1	MOV	0x0084	0x0086	0085: 0a     MOV     A,B
0x0086	2	NEA	0x0085 0x112E	0x0088 0x008A	0086: 60 69  NEA     A,A
0x0088	2	LTI	0x0086 0x0381 0x0A28 0x5727	0x008A 0x008B	0088: 37 4c  LTI     A,$4C
0x008A	1	STAX	0x0086 0x0088 0x0A35 0x4C6D 0x5732 0x574E	0x008B	008a: bc     STAX    (HL+A)
0x008C	1	JR	0x02D1 0x034D 0x4C83 0x73B9	0x0075	008c: e8        JR      $0075
0x008E	3	LXI	0x4C5D 0x4CC1 0x53EC	0x0091	008e: 24 4e 01  LXI     DE,$014E
0x0090	2	LDAW	0x0324 0x087B 0x0B14 0x4C67 0x4D76 0x4EA8 0x4EAF 0x4EB7 0x4F33 0x528B 0x5298 0x530B 0x5313 0x531B 0x53F8	0x0092	0090: 01 0b     LDAW    VV:0B
0x0091	1	MOV	0x008E	0x0092	0091: 0b        MOV     A,C
0x0092	1	JR	0x0090 0x0091 0x113B 0x11EF 0x12C8 0x1442 0x73C4 0x74D2 0x7510 0x7608 0x76D7 0x7722 0x77A7 0x77C5 0x77DC 0x782D 0x7921 0x7ACF 0x7ADF 0x7B1C	0x0099	0092: c6        JR      $0099
0x0094	2	JRE	0x00AE 0x0B45 0x0B4A 0x25B2 0x25C0 0x262C 0x2B09 0x2B44 0x2D61 0x2DB0 0x4696 0x7985	0x0096 0x00A1	0094: 4e 0b     JRE     $00A1
0x0096	3	ONIW	0x0094 0x4013 0x74C3	0x0099 0x009A	0096: 45 18 96  ONIW    VV:18,$96
0x0098	1	CALT	0x402A 0x7461 0x7484	0x0099 0x00AC	0098: 96     CALT    ($00AC)
0x0099	1	MOV	0x0092 0x0096 0x0098	0x009A	0099: 18     MOV     EAH,A
0x009A	2	JRE	0x0096 0x0099 0x2948 0x29E2 0x2C09 0x2C9E	0x009C	009a: 4f 1a  JRE     $FFB6
0x009B	1	MOV	0x00B6	0x009C	009b: 1a  MOV     B,A
0x009C	1	CALT	0x009A 0x009B 0x197B 0x1984 0x1993 0x2DB2	0x009D 0x00AA	009c: 95  CALT    ($00AA)
0x009D	1	MOV	0x009C	0x009E	009d: 19  MOV     EAL,A
0x009E	1	STAX	0x009D 0x0E7B 0x2150 0x23E3	0x009F	009e: bc  STAX    (HL+A)
0x009F	1	MOV	0x009E	0x00A0	009f: 0a     MOV     A,B
0x00A0	1	JR	0x009F 0x2B23 0x2B56 0x2B7F 0x2B8D	0x00AB	00a0: ca     JR      $00AB
0x00A1	1	MOV	0x0094	0x00A2	00a1: 0a     MOV     A,B
0x00A4	1	LDAX	0x00BA 0x20C5 0x21A2 0x21C2 0x295C 0x2D48 0x2D52 0x2D97 0x2DA1	0x00A5	00a4: 2e     LDAX    (DE-)
0x00A5	1	MOV	0x00A4	0x00A6	00a5: 0b     MOV     A,C
