start	end_exclusive	size	kind	classification
0x0000	0x0006	6	trace_code	-
0x0008	0x000B	3	trace_code	-
0x0010	0x0013	3	trace_code	-
0x0018	0x001B	3	trace_code	-
0x0028	0x002B	3	trace_code	-
0x0060	0x0063	3	trace_code	-
0x0075	0x0079	4	trace_code	-
0x0080	0x008B	11	trace_code	-
0x008C	0x008D	1	trace_code	-
0x008E	0x0093	5	trace_code	-
0x0094	0x00A2	14	trace_code	-
0x00A4	0x00AF	11	trace_code	-
0x00B0	0x00B7	7	trace_code	-
0x00B8	0x00B9	1	trace_code	-
0x00BA	0x00BB	1	trace_code	-
0x00CC	0x00CD	1	trace_code	-
0x0180	0x01EC	108	trace_code	-
0x0200	0x02DE	222	trace_code	-
0x02E4	0x04F7	531	trace_code	-
0x04F8	0x07E0	744	trace_code	-
0x07E1	0x07E8	7	trace_code	-
0x0804	0x0811	13	trace_code	-
0x0812	0x0819	7	trace_code	-
0x0836	0x0AB6	640	trace_code	-
0x0AEB	0x0AF6	11	trace_code	-
0x0B0C	0x0B18	12	trace_code	-
0x0B23	0x0B28	5	trace_code	-
0x0E66	0x0E7D	23	trace_code	-
0x0F78	0x0FD0	88	trace_code	-
0x105A	0x10A2	72	trace_code	-
0x10A7	0x112E	135	trace_code	-
0x1442	0x1448	6	trace_code	-
0x1455	0x147C	39	trace_code	-
0x173D	0x17A2	101	trace_code	-
0x17A3	0x17DA	55	trace_code	-
0x17DB	0x17F2	23	trace_code	-
0x17F5	0x1845	80	trace_code	-
0x1848	0x1896	78	trace_code	-
0x1965	0x1995	48	trace_code	-
0x19AF	0x1A16	103	trace_code	-
0x1A24	0x1A4F	43	trace_code	-
0x1A8A	0x1F23	1177	trace_code	-
0x1F4D	0x1F69	28	trace_code	-
0x1FE4	0x23E9	1029	trace_code	-
0x23F1	0x240C	27	trace_code	-
0x2428	0x2475	77	trace_code	-
0x24AD	0x2785	728	trace_code	-
0x27A1	0x27B0	15	trace_code	-
0x27D1	0x2895	196	trace_code	-
0x289D	0x2DCE	1329	trace_code	-
0x400B	0x4012	7	trace_code	-
0x4038	0x4142	266	trace_code	-
0x4173	0x418F	28	trace_code	-
0x425A	0x4267	13	trace_code	-
0x42E8	0x4315	45	trace_code	-
0x43DD	0x47B7	986	trace_code	-
0x47CB	0x4C37	1132	trace_code	-
0x4E28	0x4F36	270	trace_code	-
0x4F37	0x4F97	96	trace_code	-
0x4FB1	0x5059	168	trace_code	-
0x506D	0x50BC	79	trace_code	-
0x50EB	0x50FE	19	trace_code	-
0x5124	0x51E4	192	trace_code	-
0x51E9	0x534F	358	trace_code	-
0x5359	0x5367	14	trace_code	-
0x53AF	0x53DF	48	trace_code	-
0x53E1	0x53FD	28	trace_code	-
0x53FE	0x5794	918	trace_code	-
0x6944	0x6960	28	trace_code	-
0x739B	0x744C	177	trace_code	-
0x744D	0x74C9	124	trace_code	-
0x74CB	0x756C	161	trace_code	-
0x756F	0x761E	175	trace_code	-
0x7693	0x78B5	546	trace_code	-
0x78B6	0x79ED	311	trace_code	-
0x79F6	0x7A18	34	trace_code	-
0x7A53	0x7B74	289	trace_code	-
0x0006	0x0008	2	not_reached	fill_ff
0x000B	0x0010	5	not_reached	fill_ff
0x0013	0x0018	5	not_reached	fill_ff
0x001B	0x0028	13	not_reached	fill_ff
0x002B	0x0060	53	not_reached	fill_ff
0x0063	0x0075	18	not_reached	likely_text_or_table
