base	char_code	char	byte0	byte1	byte2	byte3	byte4	byte5
base_0000	0x01		0x02	0x0D	0x06	0x7C	0x17	0x01
base_0000	0x02		0x02	0x0D	0x06	0xA3	0x17	0x01
base_0000	0x03		0x02	0x0D	0x06	0xCA	0x17	0x01
base_0000	0x04		0x02	0x0D	0x06	0xF1	0x17	0x01
base_0000	0x05		0x02	0x0D	0x06	0x18	0x18	0x01
base_0000	0x06		0x02	0x0D	0x06	0x3F	0x18	0x01
base_0000	0x07		0x07	0x04	0x0A	0x66	0x18	0x01
base_0000	0x08		0x00	0x15	0x00	0x72	0x18	0x01
base_0000	0x09		0x03	0x0B	0x07	0xB1	0x18	0x01
base_0000	0x0A		0x00	0x15	0x00	0xD2	0x18	0x01
base_0000	0x0B		0x02	0x0D	0x06	0x11	0x19	0x01
base_0000	0x0C		0x03	0x0B	0x07	0x38	0x19	0x01
base_0000	0x0D		0x02	0x0C	0x07	0x59	0x19	0x01
base_0000	0x0E		0x01	0x0D	0x07	0x7D	0x19	0x01
base_0000	0x0F		0x02	0x0D	0x06	0xA4	0x19	0x01
base_0000	0x10		0x03	0x0C	0x06	0xCB	0x19	0x01
base_0000	0x11		0x02	0x0C	0x07	0xEF	0x19	0x01
base_0000	0x12		0x04	0x09	0x08	0x13	0x1A	0x01
base_0000	0x13		0x04	0x09	0x08	0x2E	0x1A	0x01
base_0000	0x14		0x02	0x0D	0x06	0x49	0x1A	0x01
base_0000	0x15		0x04	0x0A	0x07	0x70	0x1A	0x01
base_0000	0x16		0x03	0x0B	0x07	0x8E	0x1A	0x01
base_0000	0x17		0x02	0x0D	0x06	0xAF	0x1A	0x01
base_0000	0x18		0x04	0x09	0x08	0xD6	0x1A	0x01
base_0000	0x19		0x04	0x09	0x08	0xF1	0x1A	0x01
base_0000	0x1A		0x02	0x0D	0x06	0x0C	0x1B	0x01
base_0000	0x1B		0x02	0x0D	0x06	0x33	0x1B	0x01
base_0000	0x1C		0x03	0x0C	0x06	0x5A	0x1B	0x01
base_0000	0x1D		0x02	0x0E	0x05	0x7E	0x1B	0x01
base_0000	0x1E		0x02	0x0D	0x06	0xA8	0x1B	0x01
base_0000	0x1F		0x02	0x0D	0x06	0xCF	0x1B	0x01
base_0000	0x30	0	0x00	0x13	0x02	0xF6	0x1B	0x01
base_0000	0x31	1	0x00	0x13	0x02	0x2F	0x1C	0x01
base_0000	0x32	2	0x00	0x15	0x00	0x68	0x1C	0x01
base_0000	0x33	3	0x08	0x02	0x0B	0xA7	0x1C	0x01
base_0000	0x34	4	0x08	0x02	0x0B	0xA7	0x1C	0x01
base_0000	0x35	5	0x08	0x02	0x0B	0xA7	0x1C	0x01
base_0000	0x36	6	0x06	0x06	0x09	0xAD	0x1C	0x01
base_0000	0x37	7	0x06	0x06	0x09	0xAD	0x1C	0x01
base_0000	0x38	8	0x08	0x02	0x0B	0xA7	0x1C	0x01
base_0000	0x39	9	0x06	0x06	0x09	0xAD	0x1C	0x01
base_0000	0x3A	:	0x06	0x06	0x09	0xAD	0x1C	0x01
base_0000	0x3B	;	0x06	0x06	0x09	0xAD	0x1C	0x01
base_0000	0x3F	?	0x08	0x02	0x0B	0xA7	0x1C	0x01
base_0000	0x42	B	0x08	0x02	0x0B	0xA7	0x1C	0x01
base_0000	0x43	C	0x08	0x02	0x0B	0xA7	0x1C	0x01
base_0000	0x45	E	0x08	0x02	0x0B	0xA7	0x1C	0x01
base_0000	0x46	F	0x08	0x02	0x0B	0xA7	0x1C	0x01
base_0000	0x47	G	0x06	0x06	0x09	0xAD	0x1C	0x01
base_0000	0x49	I	0x06	0x06	0x09	0xAD	0x1C	0x01
base_0000	0x4B	K	0x06	0x06	0x09	0xAD	0x1C	0x01
base_0000	0x4C	L	0x06	0x06	0x09	0xAD	0x1C	0x01
base_0000	0x4E	N	0x06	0x06	0x09	0xAD	0x1C	0x01
base_0000	0x51	Q	0x08	0x02	0x0B	0xA7	0x1C	0x01
base_0000	0x52	R	0x06	0x06	0x09	0xAD	0x1C	0x01
base_0000	0x55	U	0x08	0x02	0x0B	0xA7	0x1C	0x01
base_0000	0x56	V	0x06	0x06	0x09	0xAD	0x1C	0x01
base_0000	0x57	W	0x06	0x06	0x09	0xAD	0x1C	0x01
base_0000	0x58	X	0x08	0x02	0x0B	0xA7	0x1C	0x01
base_0000	0x5A	Z	0x08	0x02	0x0B	0xA7	0x1C	0x01
base_0000	0x5B	[	0x00	0x15	0x00	0xBF	0x1C	0x01
base_0000	0x5C	\	0x00	0x15	0x00	0xBF	0x1C	0x01
base_0000	0x5D	]	0x00	0x09	0x0C	0xFE	0x1C	0x01
base_0000	0x5E	^	0x09	0x0C	0x00	0x19	0x1D	0x01
base_0000	0x74	t	0x08	0x02	0x0B	0xA7	0x1C	0x01
base_0000	0xB0		0x00	0x13	0x02	0x3D	0x1D	0x01
base_0000	0xB1		0x00	0x13	0x02	0x76	0x1D	0x01
base_0000	0xB2		0x00	0x15	0x00	0xAF	0x1D	0x01
base_0000	0xB3		0x08	0x02	0x0B	0xEE	0x1D	0x01
base_0000	0xB4		0x00	0x0A	0x0B	0xF4	0x1D	0x01
base_0000	0xB5		0x00	0x0A	0x0B	0x12	0x1E	0x01
base_0000	0xB6		0x00	0x0C	0x09	0x30	0x1E	0x01
base_0000	0xB7		0x00	0x0C	0x09	0x54	0x1E	0x01
base_0000	0xB8		0x00	0x0A	0x0B	0x78	0x1E	0x01
base_0000	0xB9		0x00	0x0C	0x09	0x96	0x1E	0x01
base_0000	0xBA		0x06	0x06	0x09	0xBA	0x1E	0x01
base_0000	0xBB		0x00	0x0C	0x09	0xCC	0x1E	0x01
base_0000	0xBC		0x00	0x0C	0x09	0xF0	0x1E	0x01
base_0000	0xBD		0x00	0x0C	0x09	0x14	0x1F	0x01
base_0000	0xBE		0x00	0x0A	0x0B	0x38	0x1F	0x01
